Disciplinary Actions - Public Property
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2011,197869,Appalachian State University,5,ASU Center at Burke,17344,0,0,0
2011,198464,East Carolina University,1,East Carolina University,27386,0,0,1
2011,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27386,0,0,0
2011,198507,Elizabeth City State University,1,Elizabeth City State University,2930,0,0,0
2011,198543,Fayetteville State University,1,Fayetteville State University,5930,0,1,0
2011,199102,North Carolina A & T State University,1,North Carolina A&T State University,10881,0,6,1
2011,199157,North Carolina Central University,1,North Carolina Central University,8359,0,2,0
2011,199193,North Carolina State University at Raleigh,1,Main Campus,34767,1,12,33
2011,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3863,0,0,0
2011,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29137,0,0,0
2011,199139,University of North Carolina at Charlotte,1,Main Campus,25277,0,0,2
2011,199148,University of North Carolina at Greensboro,1,Main Campus,18627,0,0,0
2011,199281,University of North Carolina at Pembroke,1,Main Campus,6251,0,0,0
2011,199184,University of North Carolina School of the Arts,1,Main Campus,893,0,0,2
2011,199218,University of North Carolina Wilmington,1,Main Campus,13145,0,0,5
2011,200004,Western Carolina University,1,Main Campus,9352,1,14,17
2011,199999,Winston-Salem State University,1,WSSU Main Campus,6163,0,0,0
2012,197869,Appalachian State University,1,Main Campus,17589,0,0,0
2012,197869,Appalachian State University,4,ASU Center at Caldwell,17589,0,0,0
2012,198464,East Carolina University,1,East Carolina University,26947,0,18,64
2012,198464,East Carolina University,2,East Carolina University Brody School of Medicine,26947,0,0,0
2012,198507,Elizabeth City State University,1,Elizabeth City State University,2878,0,0,0
2012,198543,Fayetteville State University,1,Fayetteville State University,6060,0,0,0
2012,199102,North Carolina A & T State University,1,North Carolina A&T State University,10636,0,9,0
2012,199157,North Carolina Central University,1,North Carolina Central University,8604,0,1,2
2012,199193,North Carolina State University at Raleigh,1,Main Campus,34340,0,13,54
2012,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3751,0,3,0
2012,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29278,0,0,0
2012,199139,University of North Carolina at Charlotte,1,Main Campus,26232,0,0,3
2012,199148,University of North Carolina at Greensboro,1,Main Campus,18516,0,0,0
2012,199281,University of North Carolina at Pembroke,1,Main Campus,6269,0,0,0
2012,199184,University of North Carolina School of the Arts,1,Main Campus,880,0,2,0
2012,199218,University of North Carolina Wilmington,1,Main Campus,13733,0,0,0
2012,200004,Western Carolina University,1,Main Campus,9608,0,34,46
2012,199999,Winston-Salem State University,1,WSSU Main Campus,5689,0,0,0
