,Criminal Offenses - Noncampus,,,,,,,,,,,,,,,
ID,Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Sex offenses - Non-forcible,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson,Total Offenses
50,2008,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28567,0,0,2,0,0,3,6,0,0,11
51,2008,199148,University of North Carolina at Greensboro,1,Main Campus,19976,0,0,0,0,0,0,1,0,0,1
52,2008,199281,University of North Carolina at Pembroke,1,Main Campus,6303,0,0,0,0,0,0,0,0,0,0
53,2008,199184,University of North Carolina School of the Arts,1,Main Campus,879,0,0,0,0,0,0,0,0,0,0
54,2008,199218,University of North Carolina Wilmington,1,Main Campus,12643,0,0,0,0,0,0,0,0,0,0
55,2008,200004,Western Carolina University,1,Main Campus,9050,0,0,0,0,0,0,0,0,0,0
56,2009,197869,Appalachian State University,1,Main Campus,16968,0,0,0,0,0,0,1,0,0,1
57,2009,198464,East Carolina University,1,East Carolina University,27654,0,0,2,0,1,1,14,0,0,18
58,2009,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27654,0,0,0,0,0,0,0,0,0,0
59,2009,198507,Elizabeth City State University,1,Elizabeth City State University,3264,0,0,0,0,0,0,0,0,0,0
60,2009,198543,Fayetteville State University,1,Fayetteville State University,6283,0,0,0,0,0,0,0,0,0,0
61,2009,199157,North Carolina Central University,1,North Carolina Central University,8587,0,0,0,0,1,0,4,1,0,6
62,2009,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3897,0,0,0,0,0,3,3,0,0,6
63,2009,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28916,0,0,2,0,1,1,20,0,0,24
64,2009,199139,University of North Carolina at Charlotte,1,Main Campus,24701,0,0,0,0,0,0,0,0,0,0
65,2009,199148,University of North Carolina at Greensboro,1,Main Campus,21306,0,0,0,0,0,0,2,0,0,2
66,2009,199281,University of North Carolina at Pembroke,1,Main Campus,6661,0,0,0,0,0,0,0,0,0,0
67,2009,199184,University of North Carolina School of the Arts,1,Main Campus,872,0,0,0,0,0,0,0,0,0,0
68,2009,199218,University of North Carolina Wilmington,1,Main Campus,12924,0,0,0,0,0,0,0,0,0,0
69,2009,200004,Western Carolina University,1,Main Campus,9429,0,0,0,0,0,0,0,0,0,0
70,2010,197869,Appalachian State University,1,Main Campus,17222,0,0,0,0,0,1,4,0,0,5
71,2010,198464,East Carolina University,1,East Carolina University,27783,0,0,0,0,0,0,2,1,0,3
72,2010,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27783,0,0,0,0,0,0,0,0,0,0
73,2010,198507,Elizabeth City State University,1,Elizabeth City State University,3307,0,0,0,0,0,0,0,0,0,0
74,2010,198543,Fayetteville State University,1,Fayetteville State University,5781,0,0,0,0,0,0,0,0,0,0
75,2010,199102,North Carolina A & T State University,1,North Carolina A&T State University,10795,0,0,0,0,0,0,0,0,0,0
76,2010,199157,North Carolina Central University,1,North Carolina Central University,8645,0,0,0,0,0,0,0,0,0,0
77,2010,199193,North Carolina State University at Raleigh,1,Main Campus,34376,0,0,0,0,0,0,0,0,0,0
78,2010,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3967,0,0,0,0,0,0,1,0,0,1
79,2010,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29390,0,0,4,0,0,1,5,2,0,12
80,2010,199139,University of North Carolina at Charlotte,1,Main Campus,25063,0,0,0,0,0,0,0,0,0,0
81,2010,199148,University of North Carolina at Greensboro,1,Main Campus,18771,0,0,0,0,0,0,1,0,0,1
82,2010,199184,University of North Carolina School of the Arts,1,Main Campus,872,0,0,0,0,0,0,0,0,0,0
83,2010,199218,University of North Carolina Wilmington,1,Main Campus,13071,0,0,0,0,0,0,0,0,0,0
84,2010,200004,Western Carolina University,1,Main Campus,9407,0,0,0,0,0,0,0,0,0,0
85,2011,197869,Appalachian State University,1,Main Campus,17344,0,0,0,0,0,0,3,0,0,3
86,2011,198464,East Carolina University,1,East Carolina University,27386,0,0,0,0,0,1,7,0,0,8
87,2011,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27386,0,0,0,0,0,0,0,0,0,0
88,2011,198543,Fayetteville State University,1,Fayetteville State University,5930,0,0,0,0,0,0,1,0,0,1
89,2011,199102,North Carolina A & T State University,1,North Carolina A&T State University,10881,0,0,0,0,0,0,0,1,0,1
90,2011,199157,North Carolina Central University,1,North Carolina Central University,8359,0,0,0,0,2,0,0,0,0,2
91,2011,199193,North Carolina State University at Raleigh,1,Main Campus,34767,0,0,0,0,0,0,0,1,0,1
92,2011,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3863,0,0,0,0,0,0,0,0,0,0
93,2011,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29137,0,0,0,0,0,4,15,3,0,22
94,2011,199139,University of North Carolina at Charlotte,1,Main Campus,25277,0,0,0,0,0,0,0,0,0,0
95,2011,199148,University of North Carolina at Greensboro,1,Main Campus,18627,0,0,0,0,0,0,0,0,0,0
96,2011,199281,University of North Carolina at Pembroke,1,Main Campus,6251,0,0,0,0,0,0,0,0,0,0
97,2011,199184,University of North Carolina School of the Arts,1,Main Campus,893,0,0,0,0,0,0,0,0,0,0
98,2011,199218,University of North Carolina Wilmington,1,Main Campus,13145,0,0,0,0,0,0,0,0,0,0
99,2011,200004,Western Carolina University,1,Main Campus,9352,0,0,0,0,1,0,0,0,0,1
100,2012,197869,Appalachian State University,1,Main Campus,17589,0,0,0,0,0,0,2,0,0,2
101,2012,198464,East Carolina University,1,East Carolina University,26947,0,0,2,0,0,2,3,0,0,7
102,2012,198464,East Carolina University,2,East Carolina University Brody School of Medicine,26947,0,0,0,0,0,1,0,0,0,1
103,2012,198507,Elizabeth City State University,1,Elizabeth City State University,2878,0,0,0,0,0,0,0,0,0,0
104,2012,198543,Fayetteville State University,1,Fayetteville State University,6060,0,0,0,0,0,0,0,0,0,0
105,2012,199102,North Carolina A & T State University,1,North Carolina A&T State University,10636,0,0,0,0,0,0,1,3,0,4
106,2012,199157,North Carolina Central University,1,North Carolina Central University,8604,0,0,0,0,2,0,0,0,0,2
107,2012,199193,North Carolina State University at Raleigh,1,Main Campus,34340,0,0,1,0,0,2,6,2,0,11
108,2012,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3751,0,0,0,0,0,0,0,0,0,0
109,2012,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29278,0,0,1,0,0,0,12,1,0,14
110,2012,199139,University of North Carolina at Charlotte,1,Main Campus,26232,0,0,0,0,0,0,0,1,0,1
111,2012,199148,University of North Carolina at Greensboro,1,Main Campus,18516,0,0,0,0,0,0,0,0,0,0
112,2012,199281,University of North Carolina at Pembroke,1,Main Campus,6269,0,0,0,0,0,0,0,0,0,0
113,2012,199184,University of North Carolina School of the Arts,1,Main Campus,880,0,0,0,0,0,0,0,0,0,0
114,2012,199218,University of North Carolina Wilmington,1,Main Campus,13733,0,0,0,0,0,0,0,0,0,0
115,2012,200004,Western Carolina University,1,Main Campus,9608,0,0,0,0,0,0,0,0,0,0
116,2012,199999,Winston-Salem State University,1,WSSU Main Campus,5689,0,0,0,0,2,2,1,3,0,8
