,Criminal Offenses - Public Property,,,,,,,,,,,,,,,
ID,Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Sex offenses - Non-forcible,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson,Total Offenses
76,2009,199193,North Carolina State University at Raleigh,1,Main Campus,33819,0,0,0,0,0,0,0,0,0,0
77,2009,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3897,0,0,1,0,3,5,0,0,0,9
78,2009,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28916,0,0,0,0,1,1,0,0,0,2
79,2009,199139,University of North Carolina at Charlotte,1,Main Campus,24701,0,0,1,0,1,1,0,0,0,3
80,2009,199148,University of North Carolina at Greensboro,1,Main Campus,21306,0,0,0,0,0,0,0,2,0,2
81,2009,199281,University of North Carolina at Pembroke,1,Main Campus,6661,0,0,0,0,0,0,0,2,0,2
82,2009,199184,University of North Carolina School of the Arts,1,Main Campus,872,0,0,0,0,0,0,0,0,0,0
83,2009,199218,University of North Carolina Wilmington,1,Main Campus,12924,0,0,0,0,0,0,0,0,0,0
84,2009,200004,Western Carolina University,1,Main Campus,9429,0,0,0,0,0,0,0,0,0,0
85,2009,199999,Winston-Salem State University,1,WSSU Main Campus,6427,0,0,0,0,0,0,0,0,0,0
86,2010,197869,Appalachian State University,1,Main Campus,17222,0,0,1,0,0,1,0,1,0,3
87,2010,197869,Appalachian State University,2,NCCET,17222,0,0,0,0,0,0,0,0,0,0
88,2010,197869,Appalachian State University,3,ASU Center at Hickory,17222,0,0,0,0,0,0,0,0,0,0
89,2010,197869,Appalachian State University,4,ASU Center at Caldwell,17222,0,0,0,0,0,0,0,0,0,0
90,2010,197869,Appalachian State University,5,ASU Center at Burke,17222,0,0,0,0,0,0,0,0,0,0
91,2010,198464,East Carolina University,1,East Carolina University,27783,0,0,0,0,2,3,0,0,0,5
92,2010,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27783,0,0,0,0,0,0,0,0,0,0
93,2010,198507,Elizabeth City State University,1,Elizabeth City State University,3307,0,0,0,0,0,0,0,0,0,0
94,2010,198543,Fayetteville State University,1,Fayetteville State University,5781,0,0,0,0,0,0,0,0,0,0
95,2010,199102,North Carolina A & T State University,1,North Carolina A&T State University,10795,0,0,0,0,0,0,0,0,0,0
96,2010,199157,North Carolina Central University,1,North Carolina Central University,8645,0,0,1,0,0,0,0,0,0,1
97,2010,199193,North Carolina State University at Raleigh,1,Main Campus,34376,0,0,0,0,0,0,0,0,0,0
98,2010,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3967,0,0,0,0,0,3,0,1,0,4
99,2010,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29390,0,0,0,0,0,0,0,6,0,6
100,2010,199139,University of North Carolina at Charlotte,1,Main Campus,25063,0,0,0,0,1,0,0,0,0,1
101,2010,199148,University of North Carolina at Greensboro,1,Main Campus,18771,0,0,0,0,3,0,0,1,0,4
102,2010,199281,University of North Carolina at Pembroke,1,Main Campus,6944,0,0,0,0,0,0,0,0,0,0
103,2010,199184,University of North Carolina School of the Arts,1,Main Campus,872,0,0,0,0,0,0,0,0,0,0
104,2010,199218,University of North Carolina Wilmington,1,Main Campus,13071,0,0,0,0,0,0,0,0,0,0
105,2010,200004,Western Carolina University,1,Main Campus,9407,0,0,0,0,0,0,0,0,0,0
106,2010,199999,Winston-Salem State University,1,WSSU Main Campus,6333,0,0,0,0,0,0,0,0,0,0
107,2011,197869,Appalachian State University,1,Main Campus,17344,0,0,0,0,0,0,0,0,0,0
108,2011,197869,Appalachian State University,2,NCCET,17344,0,0,0,0,0,0,0,0,0,0
109,2011,197869,Appalachian State University,3,ASU Center at Hickory,17344,0,0,0,0,0,0,0,0,0,0
110,2011,197869,Appalachian State University,4,ASU Center at Caldwell,17344,0,0,0,0,0,0,0,0,0,0
111,2011,197869,Appalachian State University,5,ASU Center at Burke,17344,0,0,0,0,0,0,0,0,0,0
112,2011,198464,East Carolina University,1,East Carolina University,27386,0,0,0,0,3,2,0,5,0,10
113,2011,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27386,0,0,0,0,0,0,0,0,0,0
114,2011,198507,Elizabeth City State University,1,Elizabeth City State University,2930,0,0,1,0,0,1,0,0,0,2
115,2011,198543,Fayetteville State University,1,Fayetteville State University,5930,0,0,0,0,0,0,0,0,0,0
116,2011,199102,North Carolina A & T State University,1,North Carolina A&T State University,10881,0,0,0,0,3,0,0,0,0,3
117,2011,199157,North Carolina Central University,1,North Carolina Central University,8359,0,0,0,0,0,0,0,1,0,1
118,2011,199193,North Carolina State University at Raleigh,1,Main Campus,34767,0,0,1,0,6,0,0,4,0,11
119,2011,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3863,0,0,0,0,0,0,0,0,0,0
120,2011,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29137,0,0,0,0,1,0,0,0,0,1
121,2011,199139,University of North Carolina at Charlotte,1,Main Campus,25277,0,0,0,0,0,0,0,0,0,0
122,2011,199148,University of North Carolina at Greensboro,1,Main Campus,18627,0,0,0,0,1,0,0,1,0,2
123,2011,199281,University of North Carolina at Pembroke,1,Main Campus,6251,0,0,0,0,0,0,0,0,0,0
124,2011,199184,University of North Carolina School of the Arts,1,Main Campus,893,0,0,0,0,1,0,0,0,0,1
125,2011,199218,University of North Carolina Wilmington,1,Main Campus,13145,0,0,0,0,0,0,0,0,0,0
126,2011,200004,Western Carolina University,1,Main Campus,9352,0,0,0,0,1,1,0,0,0,2
127,2011,199999,Winston-Salem State University,1,WSSU Main Campus,6163,0,0,0,0,0,0,0,0,0,0
128,2012,197869,Appalachian State University,1,Main Campus,17589,0,0,0,0,0,0,0,0,0,0
129,2012,197869,Appalachian State University,4,ASU Center at Caldwell,17589,0,0,0,0,0,0,0,0,0,0
130,2012,198464,East Carolina University,1,East Carolina University,26947,0,0,0,0,2,2,0,1,0,5
131,2012,198464,East Carolina University,2,East Carolina University Brody School of Medicine,26947,0,0,0,0,0,0,0,0,0,0
132,2012,198507,Elizabeth City State University,1,Elizabeth City State University,2878,0,0,0,0,0,0,0,0,0,0
133,2012,198543,Fayetteville State University,1,Fayetteville State University,6060,0,0,0,0,0,1,0,0,0,1
134,2012,199102,North Carolina A & T State University,1,North Carolina A&T State University,10636,0,0,0,0,2,0,0,0,0,2
135,2012,199157,North Carolina Central University,1,North Carolina Central University,8604,0,0,0,0,0,1,0,2,0,3
136,2012,199193,North Carolina State University at Raleigh,1,Main Campus,34340,0,0,3,0,3,5,0,3,0,14
137,2012,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3751,0,0,1,0,0,0,0,0,0,1
138,2012,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29278,0,0,1,0,1,1,0,1,0,4
139,2012,199139,University of North Carolina at Charlotte,1,Main Campus,26232,0,0,0,0,0,0,0,0,0,0
140,2012,199148,University of North Carolina at Greensboro,1,Main Campus,18516,0,0,0,0,0,0,0,1,0,1
141,2012,199281,University of North Carolina at Pembroke,1,Main Campus,6269,0,0,0,0,0,0,0,0,0,0
142,2012,199184,University of North Carolina School of the Arts,1,Main Campus,880,0,0,0,0,0,1,0,0,0,1
143,2012,199218,University of North Carolina Wilmington,1,Main Campus,13733,0,0,0,0,0,0,0,0,0,0
144,2012,200004,Western Carolina University,1,Main Campus,9608,0,0,0,0,1,1,0,0,0,2
145,2012,199999,Winston-Salem State University,1,WSSU Main Campus,5689,0,0,0,0,0,0,0,0,0,0
